IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
146204617,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,09/30/2014,16:05,CENTRAL,NONE,JONES ST / SUTTER ST,-122.4135447894,37.7885973839924,"(37.7885973839924, -122.4135447894)"
140823061,ROBBERY,ATTEMPTED ROBBERY WITH A GUN,Tuesday,09/30/2014,02:52,TENDERLOIN,NONE,FULTON ST / HYDE ST,-122.415127837608,37.7797870676791,"(37.7797870676791, -122.415127837608)"
146202382,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,09/30/2014,00:01,TARAVAL,NONE,LAWTON ST / 8TH AV,-122.464851541986,37.7584903489308,"(37.7584903489308, -122.464851541986)"
140826849,ASSAULT,BATTERY,Tuesday,09/30/2014,10:11,TARAVAL,NONE,100.0 Block of APTOS AV,-122.466263433574,37.7302147819889,"(37.7302147819889, -122.466263433574)"
140823118,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,09/30/2014,06:30,BAYVIEW,"ARREST, CITED",3RD ST / REVERE AV,-122.391522893042,37.7324323864767,"(37.7324323864767, -122.391522893042)"
140831161,ROBBERY,"ROBBERY, ARMED WITH A GUN",Tuesday,09/30/2014,21:25,INGLESIDE,NONE,SANTOS ST / VELASCO AV,-122.419348416119,37.7099491573421,"(37.7099491573421, -122.419348416119)"
140825540,MISSING PERSON,FOUND PERSON,Tuesday,09/30/2014,15:00,PARK,LOCATED,2100.0 Block of GROVE ST,-122.452095969548,37.7740971996774,"(37.7740971996774, -122.452095969548)"
140823801,WARRANTS,WARRANT ARREST,Tuesday,09/30/2014,10:48,BAYVIEW,"ARREST, BOOKED",1500.0 Block of OAKDALE AV,-122.389567847887,37.7341137065304,"(37.7341137065304, -122.389567847887)"
140823469,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,09/30/2014,08:45,TENDERLOIN,NONE,TURK ST / LEAVENWORTH ST,-122.414056291891,37.7827931071303,"(37.7827931071303, -122.414056291891)"
146202934,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,09/30/2014,21:00,BAYVIEW,NONE,1400.0 Block of 17TH ST,-122.398074101734,37.7649421655566,"(37.7649421655566, -122.398074101734)"
140846552,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Tuesday,09/30/2014,17:00,SOUTHERN,NONE,800.0 Block of BRYANT ST,-122.403742962696,37.7752316978411,"(37.7752316978411, -122.403742962696)"
140824229,NON-CRIMINAL,AIDED CASE,Tuesday,09/30/2014,12:00,SOUTHERN,NONE,7TH ST / TOWNSEND ST,-122.401658145147,37.7718165836136,"(37.7718165836136, -122.401658145147)"
146202796,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,09/30/2014,20:00,NORTHERN,NONE,1300.0 Block of WEBSTER ST,-122.43094666653,37.7830785803166,"(37.7830785803166, -122.43094666653)"
146202172,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,09/30/2014,01:00,NORTHERN,NONE,1400.0 Block of WEBSTER ST,-122.431224151729,37.78444178398,"(37.78444178398, -122.431224151729)"
140827524,VEHICLE THEFT,STOLEN TRUCK,Tuesday,09/30/2014,23:45,NORTHERN,NONE,CERVANTES BL / AVILA ST,-122.440820953867,37.8049242393945,"(37.8049242393945, -122.440820953867)"
140824815,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Tuesday,09/30/2014,12:30,TARAVAL,NONE,3700.0 Block of NORIEGA ST,-122.503276536192,37.7530216208856,"(37.7530216208856, -122.503276536192)"
140823124,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Tuesday,09/30/2014,05:50,TARAVAL,NONE,0.0 Block of GENEVA AV,-122.452317735146,37.7230346346336,"(37.7230346346336, -122.452317735146)"
140826059,FRAUD,"CREDIT CARD, THEFT BY USE OF",Tuesday,09/30/2014,22:00,CENTRAL,NONE,BEACH ST / POLK ST,-122.42384881373,37.8062214270208,"(37.8062214270208, -122.42384881373)"
140824263,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,09/30/2014,13:26,BAYVIEW,"ARREST, CITED",BAY SHORE BL / CORTLAND AV,-122.406979507963,37.7395669609406,"(37.7395669609406, -122.406979507963)"
146202241,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,09/30/2014,13:30,NORTHERN,NONE,CHESTNUT ST / PIERCE ST,-122.439504944797,37.800402493391,"(37.800402493391, -122.439504944797)"
140825540,MISSING PERSON,MISSING ADULT,Tuesday,09/30/2014,15:00,PARK,LOCATED,2100.0 Block of GROVE ST,-122.452095969548,37.7740971996774,"(37.7740971996774, -122.452095969548)"
146202360,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,09/30/2014,00:01,RICHMOND,NONE,300.0 Block of CLEMENT ST,-122.462377621488,37.782997982307,"(37.782997982307, -122.462377621488)"
140821805,NON-CRIMINAL,AIDED CASE,Monday,09/29/2014,17:05,RICHMOND,NONE,300.0 Block of SPRUCE ST,-122.453556716007,37.7878604325156,"(37.7878604325156, -122.453556716007)"
